Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"verifyElementPresent(findTestObject(""Object Repository/Thread_Webshop/Home_Page/Page_Threads/Page_Search 24 results found for Shoe  Threads/a_DR MARTENS  CAVENDISH 3-EYE SHOE BLACK""), 0)",Chrome 130.0.0.0,,,01-11-2024 15:58:27,01-11-2024 15:58:28,0.241s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Thread_Webshop/Home_Page/Page_Threads/Page_Search 24 results found for Shoe  Threads/a_DR MARTENS  1461 DMC 3-EYE SHOE  BLACK SMOOTH""), 0)",Chrome 130.0.0.0,,,01-11-2024 15:58:28,01-11-2024 15:58:28,0.235s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Thread_Webshop/Home_Page/Page_Threads/Page_Search 24 results found for Shoe  Threads/a_ADIDAS  SUPERSTAR 80S""), 0)",Chrome 130.0.0.0,,,01-11-2024 15:58:28,01-11-2024 15:58:29,0.648s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Thread_Webshop/Home_Page/Page_Threads/Page_Search 24 results found for Shoe  Threads/a_NIKE  TODDLER ROSHE ONE""), 0)",Chrome 130.0.0.0,,,01-11-2024 15:58:29,01-11-2024 15:58:29,0.239s,PASSED
"takeScreenshot(screenshotFolderPath + ""search_result.png"")",Chrome 130.0.0.0,,,01-11-2024 15:58:29,01-11-2024 15:58:29,0.315s,PASSED
"click(findTestObject(""Object Repository/Thread_Webshop/Home_Page/Page_Threads/Page_Search 24 results found for Shoe  Threads/span_Home""))",Chrome 130.0.0.0,,,01-11-2024 15:58:29,01-11-2024 15:58:30,0.639s,PASSED
"takeScreenshot(screenshotFolderPath + ""home_final.png"")",Chrome 130.0.0.0,,,01-11-2024 15:58:30,01-11-2024 15:58:31,1.353s,PASSED
closeBrowser(),Chrome 130.0.0.0,,,01-11-2024 15:58:31,01-11-2024 15:58:32,0.565s,PASSED
,,,,,,,
Test Cases/Threads_Webshop/3 Homepage/TC-672-Verify the Social media button,Chrome 130.0.0.0,,,01-11-2024 15:58:32,01-11-2024 15:58:51,18.948s,PASSED
currentDateTime = LocalDateTime.now(),Chrome 130.0.0.0,,,01-11-2024 15:58:32,01-11-2024 15:58:32,0.002s,PASSED
"formatter = DateTimeFormatter.ofPattern(""yyyyMMdd_HHmmss"")",Chrome 130.0.0.0,,,01-11-2024 15:58:32,01-11-2024 15:58:32,0.001s,PASSED
dateTimeString = currentDateTime.format(formatter),Chrome 130.0.0.0,,,01-11-2024 15:58:32,01-11-2024 15:58:32,0.001s,PASSED
"screenshotFolderPath = ""screenshots/home_page_"" + dateTimeString + ""/""",Chrome 130.0.0.0,,,01-11-2024 15:58:32,01-11-2024 15:58:32,0.000s,PASSED
File(screenshotFolderPath).mkdirs(),Chrome 130.0.0.0,,,01-11-2024 15:58:32,01-11-2024 15:58:32,0.001s,PASSED
"callTestCase(findTestCase(""Threads_Webshop/ReUsable Testcases/Enter Password""), [:], STOP_ON_FAILURE)",Chrome 130.0.0.0,,,01-11-2024 15:58:32,01-11-2024 15:58:46,14.335s,PASSED
maximizeWindow(),Chrome 130.0.0.0,,,01-11-2024 15:58:46,01-11-2024 15:58:46,0.011s,PASSED
"scrollToPosition(0, 10000)",Chrome 130.0.0.0,,,01-11-2024 15:58:46,01-11-2024 15:58:46,0.016s,PASSED
